StateCode,State,County,Year,Month,NO2 Mean,O3 Mean,SO2,CO
AZ,Arizona,Maricopa,2006,3,22.06390756,0.025049312,1.384872941,0.50856464
AZ,Arizona,Maricopa,2006,4,22.75911236,0.029623829,2.051482936,0.542684923
AZ,Arizona,Maricopa,2006,5,19.76610654,0.032265656,1.339184462,0.402315226
AZ,Arizona,Maricopa,2006,6,17.40342186,0.038012156,1.692479017,0.416460072
AZ,Arizona,Maricopa,2006,7,10.53122688,0.039633966,1.407499585,0.370922597
AZ,Arizona,Maricopa,2006,8,13.73992356,0.032654108,1.973038495,0.389223274
AZ,Arizona,Maricopa,2006,9,17.41964397,0.026731387,2.297523983,0.40922395
AZ,Arizona,Maricopa,2006,10,23.23744816,0.018440915,1.861734081,0.612433137
AZ,Arizona,Maricopa,2006,11,31.67931814,0.013718033,2.04179055,0.957309256
AZ,Arizona,Maricopa,2006,12,29.1308689,0.010574441,2.090515489,0.986849274
AZ,Arizona,Maricopa,2007,1,26.47419655,0.012836032,1.984050839,0.891488151
AZ,Arizona,Maricopa,2007,2,24.35996513,0.015794643,2.683686613,0.763428024
AZ,Arizona,Maricopa,2007,3,24.13916877,0.022771505,1.608083801,0.605708468
AZ,Arizona,Maricopa,2007,4,20.14283117,0.032872438,1.828766136,0.454266595
AZ,Arizona,Maricopa,2007,5,19.61617331,0.034382929,1.599744595,0.45287475
AZ,Arizona,Maricopa,2007,6,19.27262404,0.031123385,1.862431952,0.390981538
AZ,Arizona,Maricopa,2007,7,12.17067069,0.035896468,1.695826911,0.262943048
AZ,Arizona,Maricopa,2007,8,13.45201965,0.034118903,1.264096694,0.318721363
AZ,Arizona,Maricopa,2007,9,15.51286072,0.0281537,1.0582973,0.386939839
AZ,Arizona,Maricopa,2007,10,22.01028867,0.020352226,1.373698914,0.535231398
AZ,Arizona,Maricopa,2007,11,29.26633366,0.012698144,2.130230244,0.78056365
AZ,Arizona,Maricopa,2007,12,25.59415449,0.01059871,1.897175989,0.799083204
AZ,Arizona,Maricopa,2008,1,23.09304042,0.014529374,1.438157797,0.680064654
AZ,Arizona,Maricopa,2008,2,23.87693158,0.014690605,1.630587756,0.635878797
AZ,Arizona,Maricopa,2008,3,22.28530426,0.025255442,2.009324338,0.413515481
AZ,Arizona,Maricopa,2008,4,21.12317274,0.035666231,2.160857223,0.503512413
AZ,Arizona,Maricopa,2008,5,16.63316289,0.038852897,1.646045543,0.544109462
AZ,Arizona,Maricopa,2008,6,18.02425288,0.036196466,1.298843759,0.306029905
AZ,Arizona,Maricopa,2008,7,11.17041597,0.036370213,1.544722713,0.267776467
AZ,Arizona,Maricopa,2008,8,11.74543511,0.036099587,1.1443688,0.18901604
AZ,Arizona,Maricopa,2008,9,16.08150652,0.029765148,1.585430415,0.295369307
AZ,Arizona,Maricopa,2008,10,23.28031874,0.021247333,1.879060258,0.454325323
AZ,Arizona,Maricopa,2008,11,23.44516857,0.015041211,1.850570439,0.618083739
AZ,Arizona,Maricopa,2008,12,22.65476087,0.011102438,1.88924382,0.658581051
